well_ID,Cell_line,Treatment,,,,,,,,,,
H7,HEK293T_Dvl2_mEos_EVI_KO,DMSO,,,,,,,,,,
I7,HEK293T_Dvl2_mEos_EVI_KO,DMSO,,,,,,,,,,
J7,HEK293T_Dvl2_mEos_EVI_KO,DMSO,,,,,,,,,,
K7,HEK293T_Dvl2_mEos_EVI_KO,DMSO,,,,,,,,,,
L7,HEK293T_Dvl2_mEos_EVI_KO,PF670462,,,,,,,,,,
M7,HEK293T_Dvl2_mEos_EVI_KO,PF670462,,,,,,,,,,
N7,HEK293T_Dvl2_mEos_EVI_KO,PF670462,,,,,,,,,,
O7,HEK293T_Dvl2_mEos_EVI_KO,PF670462,,,,,,,,,,
P7,empty,empty,,,,,,,,,,
A8,empty,empty,,,,,,,,,,
B8,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
C8,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
D8,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
E8,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
F8,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
G8,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
H8,HEK293T_Dvl2_mEos,DMSO,,,,,,,,,,
I8,HEK293T_Dvl2_mEos,DMSO,,,,,,,,,,
J8,HEK293T_Dvl2_mEos,DMSO,,,,,,,,,,
K8,HEK293T_Dvl2_mEos,DMSO,,,,,,,,,,
L8,HEK293T_Dvl2_mEos,PF670462,,,,,,,,,,
M8,HEK293T_Dvl2_mEos,PF670462,,,,,,,,,,
N8,HEK293T_Dvl2_mEos,PF670462,,,,,,,,,,
O8,HEK293T_Dvl2_mEos,PF670462,,,,,,,,,,
P8,empty,empty,,,,,,,,,,
A9,empty,empty,,,,,,,,,,
B9,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
C9,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
D9,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
E9,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
F9,HEK293T_Dvl2_mEos,medium,,,,,,,,,,
